season,month,holiday,day_of_week,workingday,weather,temp,atemp,humidity,windspeed,count
3,6,0,5,1,1,38.0,39.0,48.88,0.17,5463
2,4,0,0,0,3,10.0,14.0,83.54,0.34,1027
3,7,0,0,0,1,36.0,36.0,51.88,0.17,5531
1,3,0,6,0,2,9.0,13.0,78.92,0.25,2077
1,2,0,6,0,1,7.0,11.0,53.46,0.19,4318
1,1,0,5,1,2,-1.0,3.0,45.0,0.2,3163
4,10,0,2,1,2,13.0,17.0,76.17,0.19,6392
4,11,0,6,0,1,6.0,9.0,50.21,0.22,3663
2,3,0,2,1,1,5.0,9.0,29.0,0.19,5102
3,7,0,6,0,3,23.0,24.0,86.54,0.21,4459
3,8,0,2,1,1,25.0,27.0,45.54,0.15,5895
3,7,0,3,1,1,30.0,30.0,63.33,0.15,7264
2,4,0,6,0,1,13.0,16.0,25.42,0.27,6857
1,2,0,3,1,2,7.0,11.0,80.48,0.18,1834
4,10,0,4,1,2,26.0,27.0,72.29,0.12,7328
4,10,0,1,1,1,6.0,11.0,70.33,0.11,3669
4,10,0,6,0,1,20.0,23.0,66.42,0.27,7965
3,8,0,1,1,1,33.0,33.0,59.21,0.19,4326
4,9,0,3,1,1,25.0,27.0,63.08,0.24,7733
4,10,0,1,1,1,14.0,18.0,77.21,0.12,4187
1,1,0,6,0,1,-11.0,-6.0,40.0,0.17,981
1,2,0,6,0,1,3.0,5.0,39.58,0.42,2732
4,11,0,2,1,3,11.0,16.0,96.25,0.12,1607
3,7,0,2,1,1,34.0,36.0,65.04,0.13,4541
2,3,0,1,1,1,13.0,17.0,47.79,0.39,5558
2,5,0,3,1,2,20.0,22.0,87.0,0.2,3855
2,6,0,3,1,1,34.0,34.0,59.21,0.11,6211
3,8,0,1,1,1,34.0,33.0,55.08,0.16,4266
4,12,0,3,1,1,13.0,16.0,48.5,0.32,5729
4,11,0,2,1,2,7.0,9.0,66.29,0.34,4094
4,11,0,5,1,1,7.0,11.0,52.21,0.27,5847
2,5,0,0,0,1,24.0,26.0,53.04,0.25,7129
3,8,0,5,1,1,31.0,4.0,57.08,0.23,7148
3,8,0,6,0,1,29.0,30.0,67.42,0.1,5191
1,2,0,5,1,2,3.0,7.0,54.0,0.12,3831
3,7,0,0,0,2,27.0,28.0,76.25,0.09,7410
4,11,0,1,1,1,18.0,22.0,58.71,0.31,4486
3,7,0,0,0,2,30.0,31.0,68.25,0.23,4649
3,9,0,0,0,1,22.0,24.0,57.0,0.09,7333
3,9,0,5,1,1,25.0,26.0,67.25,0.1,8009
2,4,0,1,1,2,14.0,18.0,57.0,0.17,5572
4,10,0,4,1,1,16.0,19.0,62.08,0.13,4765
1,1,0,5,1,1,-4.0,-1.0,45.71,0.35,1543
2,6,0,1,1,2,25.0,27.0,74.62,0.16,4010
1,2,0,1,1,1,3.0,8.0,62.22,0.15,3784
4,11,0,1,1,1,5.0,8.0,49.42,0.24,5259
3,7,0,5,1,2,27.0,28.0,84.42,0.21,5870
3,6,0,0,0,1,28.0,29.0,51.33,0.09,5305
4,11,1,4,0,1,9.0,12.0,54.92,0.17,1495
3,7,0,1,1,1,32.0,33.0,65.12,0.22,4458
2,4,0,0,0,1,23.0,25.0,50.79,0.23,7132
3,9,0,3,1,1,31.0,34.0,74.12,0.19,7112
4,9,0,6,0,2,23.0,25.0,86.25,0.08,5423
2,5,0,1,1,2,19.0,22.0,66.42,0.23,6273
2,5,0,3,1,1,19.0,22.0,63.29,0.12,4182
4,12,0,1,1,2,9.0,14.0,82.71,0.06,3811
3,9,0,3,1,1,23.0,25.0,57.71,0.13,7870
2,5,0,5,1,1,25.0,26.0,73.54,0.16,6296
3,7,0,4,1,1,34.0,36.0,59.67,0.28,6861
3,8,0,3,1,1,28.0,29.0,55.21,0.11,7697
3,7,0,3,1,1,32.0,32.0,63.17,0.15,4342
2,5,0,6,0,1,23.0,25.0,62.67,0.12,5805
1,2,0,2,1,1,3.0,8.0,59.43,0.21,3777
2,4,0,6,0,1,21.0,23.0,68.29,0.28,6624
2,6,0,4,1,1,30.0,30.0,30.5,0.29,4968
4,11,0,0,0,1,0.0,5.0,46.83,0.15,2424
1,1,0,2,1,2,-4.0,1.0,68.64,0.12,1263
4,9,0,2,1,2,25.0,25.0,88.54,0.12,4120
2,4,0,4,1,1,13.0,16.0,60.29,0.16,3141
3,7,0,6,0,1,36.0,35.0,46.58,0.17,4475
1,12,0,0,0,1,0.0,5.0,51.54,0.13,1787
3,7,0,1,1,1,32.0,32.0,69.42,0.14,6966
3,7,0,1,1,1,34.0,33.0,44.71,0.2,6227
4,11,0,2,1,2,9.0,13.0,68.5,0.08,5634
2,6,0,6,0,1,25.0,26.0,50.42,0.17,7702
4,11,1,1,0,1,16.0,19.0,74.17,0.17,6269
4,11,0,2,1,2,14.0,17.0,83.08,0.26,2914
1,3,0,4,1,1,11.0,15.0,60.29,0.21,2744
1,3,0,6,0,1,15.0,18.0,37.92,0.37,3117
3,9,0,3,1,2,22.0,24.0,90.0,0.1,4352
2,5,1,1,0,1,31.0,31.0,68.5,0.13,4098
4,11,0,0,0,1,12.0,16.0,65.92,0.13,6852
2,5,0,2,1,1,31.0,31.0,68.46,0.3,5743
4,11,0,6,0,1,5.0,10.0,54.54,0.18,5629
2,4,0,6,0,1,16.0,20.0,50.29,0.19,7460
3,7,0,3,1,1,35.0,36.0,57.71,0.14,5713
2,4,0,5,1,1,10.0,14.0,37.71,0.3,6460
3,9,0,0,0,1,26.0,27.0,71.38,0.12,5046
1,1,0,4,1,1,2.0,7.0,52.42,0.13,3272
4,11,0,5,1,1,2.0,6.0,41.0,0.17,3392
2,6,0,3,1,2,33.0,34.0,67.71,0.21,3974
4,10,0,0,0,1,5.0,9.0,62.38,0.18,3331
3,7,0,0,0,1,32.0,32.0,57.83,0.18,4881
3,8,0,4,1,1,33.0,33.0,62.04,0.16,7286
4,12,0,4,1,2,12.0,15.0,63.42,0.27,3709
3,9,0,4,1,1,26.0,28.0,63.92,0.14,5115
2,3,0,2,1,1,4.0,7.0,31.42,0.23,2425
4,10,0,4,1,2,20.0,22.0,80.04,0.12,7359
1,2,0,4,1,1,14.0,17.0,55.46,0.19,5062
4,10,0,0,0,1,17.0,21.0,48.67,0.28,5041
4,10,0,3,1,1,17.0,21.0,63.08,0.19,7691
2,6,0,4,1,2,25.0,27.0,68.83,0.21,3767
3,8,0,6,0,1,28.0,28.0,60.33,0.18,7865
4,11,0,4,1,2,5.0,9.0,62.04,0.15,5445
2,6,0,0,0,2,26.0,28.0,65.25,0.14,4906
1,12,0,5,1,1,9.0,13.0,68.62,0.27,2209
1,1,0,2,1,2,9.0,12.0,71.61,0.35,2935
4,10,0,5,1,1,17.0,21.0,68.42,0.02,4985
2,5,0,6,0,1,18.0,21.0,54.12,0.16,4714
1,1,0,0,0,1,-9.0,-5.0,43.65,0.25,986
3,9,0,6,0,2,27.0,28.0,79.92,0.28,5976
4,10,0,6,0,2,18.0,21.0,72.0,0.24,7852
4,10,1,1,0,1,21.0,23.0,73.38,0.04,5117
2,4,1,1,0,1,27.0,28.0,56.17,0.28,6370
1,1,0,2,1,1,-6.0,-3.0,44.12,0.37,2236
1,1,0,3,1,3,-1.0,2.0,86.25,0.29,506
3,7,0,6,0,1,28.0,29.0,58.5,0.21,5923
1,3,0,0,0,2,9.0,12.0,94.83,0.34,605
1,1,0,0,0,1,-0.0,4.0,48.38,0.19,1204
2,4,0,3,1,1,7.0,10.0,46.96,0.3,4862
4,10,0,2,1,1,15.0,18.0,62.29,0.17,4687
3,9,0,4,1,1,24.0,26.0,63.71,0.08,7804
4,12,0,6,0,1,4.0,9.0,61.29,0.1,3614
1,1,0,4,1,1,-3.0,3.0,68.75,0.11,431
3,8,0,6,0,2,29.0,29.0,73.29,0.21,6299
1,2,0,0,0,1,5.0,9.0,45.74,0.26,1589
2,5,0,6,0,1,21.0,23.0,48.04,0.12,7429
2,5,0,3,1,2,26.0,28.0,67.0,0.13,6855
4,11,0,5,1,1,4.0,9.0,64.96,0.06,5668
3,7,0,0,0,1,32.0,33.0,71.79,0.17,6031
2,3,0,5,1,2,8.0,13.0,58.08,0.14,5459
1,1,0,1,1,2,-1.0,4.0,91.12,0.11,2432
1,3,0,0,0,1,9.0,13.0,52.74,0.27,2417
3,6,0,2,1,1,25.0,26.0,37.33,0.35,7442
2,4,0,0,0,2,12.0,15.0,67.62,0.17,6041
4,9,0,2,1,1,20.0,23.0,57.0,0.24,7538
1,3,0,3,1,1,10.0,13.0,51.33,0.35,4916
3,9,0,3,1,1,20.0,23.0,53.67,0.22,7591
4,10,0,1,1,2,20.0,23.0,70.75,0.3,5875
3,9,0,4,1,2,25.0,24.0,90.21,0.13,4795
3,7,0,5,1,1,38.0,39.0,54.25,0.17,3846
4,11,0,0,0,1,13.0,16.0,45.83,0.28,3717
2,5,1,1,0,1,30.0,32.0,67.62,0.2,6043
4,11,0,4,1,2,9.0,13.0,81.33,0.19,2933
2,6,0,1,1,2,21.0,23.0,77.79,0.17,5099
4,11,0,3,1,3,14.0,17.0,93.0,0.14,1817
1,1,0,6,0,2,-5.0,-1.0,53.58,0.27,959
1,1,0,0,0,1,3.0,6.0,31.13,0.24,3243
2,5,0,0,0,1,23.0,25.0,74.96,0.15,4660
2,3,0,1,1,1,2.0,5.0,30.22,0.21,2028
2,4,0,1,1,2,5.0,8.0,76.67,0.3,3214
2,5,0,5,1,1,21.0,24.0,52.33,0.14,7639
3,8,0,4,1,2,30.0,31.0,75.75,0.2,4576
3,8,0,5,1,2,33.0,35.0,64.25,0.22,7175
3,7,0,1,1,1,33.0,35.0,64.5,0.16,6830
1,2,0,5,1,1,5.0,8.0,52.67,0.18,4151
4,10,0,2,1,2,5.0,9.0,82.55,0.21,1096
2,5,0,6,0,2,24.0,26.0,75.67,0.15,6883
3,9,0,6,0,1,27.0,27.0,75.38,0.15,5345
2,4,0,5,1,1,13.0,16.0,40.83,0.16,6398
1,12,0,6,0,1,4.0,8.0,54.25,0.19,1011
3,9,0,1,1,1,26.0,27.0,69.22,0.09,4713
4,10,0,2,1,1,16.0,19.0,71.0,0.21,4456
3,6,0,2,1,1,32.0,33.0,63.42,0.14,4648
4,10,0,0,0,1,19.0,22.0,72.75,0.06,5511
1,1,0,4,1,2,7.0,11.0,76.96,0.07,4075
2,5,0,3,1,2,24.0,26.0,77.46,0.1,5260
3,8,0,1,1,2,32.0,34.0,65.42,0.13,7013
2,5,0,2,1,1,19.0,22.0,48.92,0.12,4803
2,5,0,3,1,1,27.0,28.0,69.62,0.15,4978
4,10,0,0,0,2,11.0,15.0,70.83,0.14,3510
4,12,0,0,0,2,8.0,12.0,83.88,0.1,3786
1,3,0,1,1,1,5.0,10.0,49.7,0.14,2046
3,8,0,3,1,1,27.0,29.0,60.5,0.25,5130
1,2,0,1,1,1,2.0,8.0,73.83,0.05,1712
1,2,0,4,1,1,2.0,6.0,56.21,0.19,3830
1,12,0,4,1,2,1.0,3.0,65.29,0.35,2114
2,6,0,4,1,2,36.0,37.0,56.83,0.15,915
1,2,0,1,1,1,8.0,12.0,49.08,0.27,4322
2,5,0,0,0,1,28.0,29.0,69.71,0.22,6591
3,8,0,2,1,1,25.0,26.0,54.83,0.13,5204
4,11,0,4,1,1,3.0,8.0,55.57,0.12,5323
3,9,1,1,0,2,27.0,28.0,79.04,0.21,3351
1,12,0,4,1,2,12.0,16.0,75.75,0.05,7258
2,6,0,2,1,2,26.0,27.0,83.33,0.21,4972
2,5,0,0,0,2,13.0,17.0,76.21,0.11,3351
1,3,0,5,1,2,5.0,8.0,64.96,0.23,1977
1,1,0,0,0,1,-6.0,-4.0,43.42,0.36,822
1,12,0,6,0,1,11.0,15.0,61.58,0.22,2485
2,6,0,5,1,1,26.0,27.0,46.79,0.18,7736
1,1,0,3,1,2,-8.0,-3.0,41.46,0.18,2368
3,6,0,4,1,1,29.0,29.0,43.42,0.19,5515
2,5,0,4,1,1,17.0,20.0,55.21,0.31,6572
3,9,0,6,0,2,16.0,19.0,71.83,0.19,4511
2,5,0,1,1,2,23.0,25.0,81.12,0.23,4359
1,3,0,2,1,1,2.0,6.0,53.5,0.22,1851
3,6,0,3,1,1,29.0,29.0,36.0,0.27,1430
3,8,0,1,1,1,29.0,29.0,47.0,0.28,818
1,2,0,0,0,2,3.0,6.0,51.58,0.25,7766
2,6,0,6,0,1,31.0,32.0,65.46,0.15,4966
1,3,0,6,0,1,3.0,6.0,35.04,0.23,4118
3,8,0,6,0,1,35.0,36.0,61.33,0.26,3569
1,2,0,2,1,1,7.0,12.0,49.62,0.15,4375
1,2,0,0,0,1,3.0,6.0,41.0,0.21,3389
1,2,0,4,1,1,12.0,16.0,50.5,0.23,2475
1,12,0,0,0,1,2.0,7.0,68.13,0.16,754
4,12,0,2,1,1,3.0,8.0,59.0,0.14,3523
2,4,0,5,1,2,6.0,9.0,72.96,0.22,1683
1,12,0,6,0,1,2.0,4.0,44.12,0.41,1749
3,7,0,4,1,1,37.0,37.0,45.79,0.19,6241
4,10,0,1,1,1,19.0,21.0,57.96,0.18,4570
1,1,0,1,1,1,-9.0,-4.0,49.17,0.16,1416
4,11,1,5,0,1,5.0,8.0,44.62,0.31,8872
3,7,0,4,1,1,34.0,34.0,60.04,0.17,6591
1,1,0,6,0,1,5.0,10.0,54.33,0.21,4023
2,5,0,0,0,2,20.0,23.0,86.71,0.15,4553
2,5,0,3,1,1,25.0,27.0,69.79,0.12,2180
3,7,0,6,0,1,39.0,40.0,49.21,0.16,4840
2,5,0,2,1,2,22.0,24.0,68.58,0.3,360
3,6,0,6,0,1,29.0,30.0,48.33,0.21,5202
2,5,0,3,1,2,21.0,24.0,74.42,0.22,4717
2,5,0,4,1,1,28.0,29.0,49.29,0.2,7338
4,11,0,1,1,1,10.0,14.0,75.88,0.06,4035
4,11,0,6,0,1,3.0,5.0,40.46,0.38,2277
3,8,0,5,1,1,30.0,30.0,63.08,0.18,4866
2,4,0,2,1,2,17.0,20.0,73.92,0.27,2034
4,10,0,3,1,1,22.0,24.0,63.62,0.07,7693
4,12,0,1,1,1,2.0,7.0,63.75,0.17,3403
1,2,0,0,0,1,3.0,6.0,40.78,0.22,1812
4,10,0,5,1,1,12.0,16.0,57.42,0.22,4304
1,2,0,0,0,2,2.0,6.0,68.79,0.18,2947
1,2,0,6,0,1,3.0,7.0,53.79,0.19,1969
3,8,0,2,1,1,26.0,27.0,67.38,0.07,7006
3,7,0,3,1,1,34.0,33.0,40.29,0.18,4656
1,1,0,4,1,2,1.0,5.0,53.83,0.2,1927
1,1,0,1,1,2,-1.0,5.0,70.17,0.1,2376
1,3,0,3,1,1,6.0,9.0,44.96,0.31,2134
3,7,0,4,1,1,28.0,29.0,47.62,0.24,5084
2,3,0,3,1,2,7.0,10.0,83.96,0.23,2121
1,2,0,5,1,1,7.0,11.0,63.46,0.21,4154
2,5,0,6,0,1,23.0,25.0,45.62,0.08,8294
3,7,0,4,1,1,32.0,32.0,65.12,0.16,4592
4,12,0,3,1,2,4.0,8.0,53.83,0.16,5319
1,3,0,4,1,1,-3.0,2.0,31.83,0.23,1685
2,4,0,2,1,2,17.0,20.0,66.58,0.16,3204
3,8,0,4,1,1,32.0,34.0,65.96,0.13,7261
2,6,0,2,1,1,28.0,30.0,69.0,0.15,6825
4,11,0,3,1,2,4.0,6.0,54.75,0.3,5035
1,1,0,2,1,1,-2.0,2.0,59.04,0.16,1562
4,10,0,5,1,2,19.0,22.0,80.71,0.13,7444
4,9,0,5,1,2,24.0,26.0,69.0,0.16,3919
3,8,0,4,1,1,29.0,29.0,63.58,0.08,7765
3,6,0,3,1,1,31.0,33.0,70.75,0.17,4507
1,3,0,1,1,1,1.0,4.0,55.13,0.34,7124
4,12,0,1,1,1,0.0,6.0,67.08,0.06,3310
4,10,0,3,1,1,19.0,22.0,64.79,0.18,4826
1,1,0,3,1,1,4.0,6.0,44.33,0.42,3376
4,10,0,4,1,1,12.0,16.0,46.33,0.18,7570
1,2,0,0,0,1,7.0,11.0,68.0,0.13,2402
4,12,0,3,1,1,6.0,11.0,62.54,0.18,5267
3,9,0,4,1,2,21.0,24.0,70.92,0.27,3659
2,4,1,5,0,1,13.0,17.0,67.12,0.23,3126
3,8,0,6,0,2,28.0,30.0,72.96,0.21,10045
3,9,0,2,1,1,31.0,32.0,75.5,0.24,6864
3,8,0,3,1,2,31.0,32.0,65.75,0.14,3574
1,2,0,6,0,2,-0.0,4.0,92.92,0.16,1005
3,8,0,3,1,1,26.0,28.0,59.79,0.08,5058
4,11,0,6,0,2,7.0,9.0,49.12,0.27,5138
2,6,0,6,0,1,25.0,26.0,45.62,0.12,5342
1,2,0,4,1,2,5.0,10.0,75.29,0.09,3005
1,2,0,5,1,1,-3.0,2.0,50.64,0.11,1746
1,1,1,1,0,2,-4.0,0.0,53.75,0.19,1000
3,6,0,0,0,1,32.0,31.0,47.92,0.15,6891
3,7,0,2,1,1,32.0,33.0,59.04,0.13,4665
1,12,0,6,0,2,1.0,4.0,75.29,0.12,1341
4,12,0,5,1,2,9.0,12.0,50.04,0.26,7557
1,1,0,6,0,2,7.0,12.0,80.58,0.16,985
2,4,0,3,1,2,14.0,18.0,56.92,0.17,4367
4,12,0,6,0,1,5.0,10.0,65.04,0.11,5047
1,3,0,4,1,1,20.0,23.0,57.96,0.15,6192
1,3,0,3,1,2,8.0,12.0,77.65,0.2,2192
4,12,0,2,1,3,14.0,18.0,94.96,0.23,2594
1,2,0,6,0,3,-1.0,2.0,73.12,0.29,2169
1,3,0,2,1,1,3.0,8.0,42.08,0.12,2133
1,12,0,3,1,1,4.0,7.0,50.39,0.29,2302
2,4,0,4,1,2,24.0,25.0,70.08,0.32,4058
4,10,0,5,1,2,20.0,22.0,71.62,0.22,3644
4,11,1,4,0,1,6.0,11.0,58.04,0.05,8223
4,12,0,3,1,2,5.0,10.0,66.38,0.06,3740
2,5,0,0,0,1,27.0,28.0,81.88,0.21,4788
1,1,0,2,1,1,10.0,13.0,41.67,0.26,4509
3,6,0,6,0,1,31.0,30.0,53.46,0.18,7458
