Perc_population,Spreading_factor
3.457,0.514951
2.885,-0.189176
1.263,0.5303
0.459,-0.252489
2.815,0.453556
-0.244,-0.16999
1.008,-0.783942
6.634,1.43972
1.479,1.1078
0.907,-0.0510363
-0.587,-0.56714
3.372,0.749021
6.164,1.27664
2.702,0.179196
6.644,1.5203
1.123,-1.47464
2.99,0.518789
0.04,0.0353008
7.115,1.49536
3.09,-0.346501
7.253,1.78698
3.656,1.26129
-0.241,-0.737896
5.059,0.539893
5.807,0.917858
4.144,0.545649
1.235,-0.918244
3.61,0.635823
-0.223,-1.83917
0.497,-0.935512
0.435,-1.79696
6.999,0.965823
-0.878,-1.60127
-0.827,-0.237141
1.451,-1.34993
-0.654,0.200301
-0.378,-0.887547
-0.023,0.631986
5.344,1.90402
4.119,1.056
-0.252,-0.929756
5.395,0.963904
2.724,1.48576
2.13,-0.0356874
1.199,-0.964291
2.582,0.4478
-0.842,-0.724466
1.211,-0.950861
6.453,1.26129
-0.935,-0.734059
1.842,0.181115
0.416,0.630068
1.525,0.616637
1.933,-1.6147
-0.342,-1.24057
1.403,0.348033
1.653,0.108208
0.864,-0.638129
6.377,1.07518
4.588,0.559079
0.589,0.190708
-0.834,0.181115
5.399,0.685707
7.312,0.829602
-0.456,-1.76243
2.543,-1.09859
0.49,0.704893
0.057,0.238673
0.149,0.307742
2.517,0.484254
3.928,0.59937
1.118,-1.51109
2.769,-0.396385
3.44,0.921695
0.937,0.382568
-0.197,0.104371
4.836,0.781637
6.413,1.15193
-0.327,-1.43243
-0.029,-1.60894
0.623,-1.58976
-0.072,0.520707
-0.187,-1.64348
0.028,0.49001
2.379,0.142743
1.213,0.169603
0.639,-1.20987
-0.852,-1.48039
-0.417,-0.71871
0.232,-0.242896
-0.081,0.227161
0.095,-0.465454
0.728,-0.118187
-0.72,-0.724466
1.563,0.871811
5.3,0.841114
-0.502,-0.530687
2.809,0.394079
1.305,0.142743
1.502,-1.29429
-0.719,-1.4497
-0.563,-0.536443
3.342,0.549486
5.085,0.491928
-0.935,-1.17534
-0.278,-0.991151
4.67,1.05216
1.946,-1.5015
2.801,-1.3576
5.305,1.74478
0.204,-0.177664
-0.28,-1.88138
5.605,1.13274
1.385,0.240591
0.088,-1.67801
6.376,1.35914
0.662,0.973497
6.31,0.624312
-0.641,-1.83534
0.53,-1.1408
0.943,0.645416
2.742,-0.651559
1.029,-0.741733
3.229,0.679951
0.349,-0.582489
1.047,0.039138
7.435,1.48576
-0.461,-1.53603
2.179,1.44547
6.328,1.1078
3.854,0.841114
0.987,-1.87563
